po_id,supplier,order_date,delivery_date,item_category,order_status,quantity,unit_price,negotiated_price,defective_units,compliance,defect_data_missing,delivery_date_issue,total_order_value,negotiated_total,savings_amount,savings_pct,lead_time_days,order_year,order_quarter,order_month,defect_rate,on_time,compliant,lead_time_category
PO-00040,Epsilon_Group,2022-12-11,NA,Office Supplies,Delivered,524,46.28,39.65,14,Yes,FALSE,Missing for delivered,24250.72,20776.6,3474.1200000000026,14.325842696629218,NA,2022,4,2022-12-01,2.6717557251908395,NA,1,NA
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,Electronics,Delivered,1132,17.78,15.36,96,Yes,FALSE,Nothing,20126.960000000003,17387.52,2739.4400000000023,13.610798650168737,12,2022,2,2022-04-01,8.480565371024735,On Time,1,Short
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,Office Supplies,Delivered,560,81.14,77.87,34,No,FALSE,Nothing,45438.4,43607.200000000004,1831.199999999997,4.030071481390185,9,2022,2,2022-04-01,6.071428571428571,On Time,0,Short
PO-00043,Gamma_Co,2023-01-25,2023-02-02,Electronics,Delivered,1755,63.87,58.4,85,Yes,FALSE,Nothing,112091.84999999999,102492,9599.849999999991,8.564271175825896,8,2023,1,2023-01-01,4.843304843304843,On Time,1,Short
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,MRO,Delivered,1549,48.9,42.42,48,Yes,FALSE,Nothing,75746.09999999999,65708.58,10037.51999999999,13.251533742331281,7,2022,2,2022-04-01,3.0987734021949644,On Time,1,Short
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,MRO,Delivered,749,97.07,94.16,123,Yes,FALSE,Nothing,72705.43,70525.84,2179.5899999999965,2.9978366127536797,18,2023,1,2023-01-01,16.421895861148197,Slightly Late,1,Moderate
PO-00046,Alpha_Inc,2022-12-19,NA,Electronics,Delivered,1025,21.11,19.25,15,Yes,FALSE,Missing for delivered,21637.75,19731.25,1906.5,8.810990052108004,NA,2022,4,2022-12-01,1.4634146341463417,NA,1,NA
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,Raw Materials,Delivered,1856,59.77,50.81,191,Yes,FALSE,Nothing,110933.12000000001,94303.36,16629.76000000001,14.990798059227037,7,2023,3,2023-09-01,10.29094827586207,On Time,1,Short
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,Office Supplies,Delivered,239,11.46,11.28,4,Yes,FALSE,Nothing,2738.94,2695.92,43.01999999999998,1.570680628272264,16,2022,3,2022-09-01,1.6736401673640167,Slightly Late,1,Moderate
PO-00049,Delta_Logistics,2022-02-14,2022-03-05,Office Supplies,Pending,1007,52.44,46.06,167,Yes,FALSE,Nothing,52807.079999999994,46382.420000000006,6424.659999999989,12.166285278413417,19,2022,1,2022-02-01,16.583912611717974,Slightly Late,1,Moderate
PO-00050,Alpha_Inc,2023-04-16,NA,MRO,Pending,736,16.2,15.33,18,Yes,FALSE,Expected - Pending,11923.199999999999,11282.88,640.3199999999997,5.370370370370366,NA,2023,2,2023-04-01,2.4456521739130435,NA,1,NA
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,Electronics,Delivered,1007,22.56,19.59,0,Yes,FALSE,Nothing,22717.92,19727.13,2990.7899999999972,13.164893617021272,10,2023,3,2023-07-01,0,On Time,1,Short
PO-00052,Delta_Logistics,2022-05-08,NA,Office Supplies,Delivered,612,20.99,19.75,102,Yes,FALSE,Missing for delivered,12845.88,12087,758.8799999999992,5.907575035731294,NA,2022,2,2022-05-01,16.666666666666664,NA,1,NA
PO-00053,Alpha_Inc,2023-01-23,2023-02-02,MRO,Pending,1949,72.53,63.26,48,No,FALSE,Nothing,141360.97,123293.73999999999,18067.23000000001,12.780918240727978,10,2023,1,2023-01-01,2.4628014366341713,On Time,0,Short
PO-00054,Delta_Logistics,2022-03-22,2022-03-28,Office Supplies,Cancelled,1640,77.92,76.41,262,No,FALSE,Nothing,127788.8,125312.4,2476.4000000000087,1.937885010266947,6,2022,1,2022-03-01,15.975609756097562,On Time,0,Short
PO-00055,Beta_Supplies,2023-07-20,2023-08-07,Electronics,Delivered,1317,68.13,60.52,136,Yes,FALSE,Nothing,89727.20999999999,79704.84000000001,10022.36999999998,11.169822398356073,18,2023,3,2023-07-01,10.32649962034928,Slightly Late,1,Moderate
PO-00056,Epsilon_Group,2022-10-28,2022-10-30,Raw Materials,Delivered,881,100.94,95.05,30,Yes,FALSE,Nothing,88928.14,83739.05,5189.0899999999965,5.835149593818111,2,2022,4,2022-10-01,3.40522133938706,On Time,1,Short
PO-00057,Delta_Logistics,2023-10-06,NA,Packaging,Delivered,1578,48.33,42.77,206,Yes,FALSE,Missing for delivered,76264.73999999999,67491.06,8773.679999999993,11.504241671839427,NA,2023,4,2023-10-01,13.054499366286437,NA,1,NA
PO-00058,Delta_Logistics,2023-09-26,2023-10-01,MRO,Delivered,1204,39.29,35.44,0,Yes,FALSE,Nothing,47305.159999999996,42669.759999999995,4635.4000000000015,9.79893102570629,5,2023,3,2023-09-01,0,On Time,1,Short
PO-00059,Epsilon_Group,2023-01-06,2023-01-22,MRO,Pending,1558,93.46,91.27,39,Yes,FALSE,Nothing,145610.68,142198.66,3412.0199999999895,2.34324844853413,16,2023,1,2023-01-01,2.503209242618742,Slightly Late,1,Moderate
PO-00060,Alpha_Inc,2023-08-15,2023-08-16,Packaging,Delivered,1892,32.99,28.81,35,Yes,FALSE,Nothing,62417.08,54508.52,7908.560000000005,12.670506214004254,1,2023,3,2023-08-01,1.849894291754757,On Time,1,Short
PO-00061,Epsilon_Group,2022-07-16,2022-08-01,Packaging,Delivered,696,99.59,90.18,25,Yes,FALSE,Nothing,69314.64,62765.280000000006,6549.359999999993,9.448739833316594,16,2022,3,2022-07-01,3.5919540229885056,Slightly Late,1,Moderate
PO-00062,Delta_Logistics,2023-12-23,2024-01-03,MRO,Partially Delivered,70,12.37,11.04,10,Yes,FALSE,Nothing,865.9,772.8,93.10000000000002,10.751818916734035,11,2023,4,2023-12-01,14.285714285714285,On Time,1,Short
PO-00063,Gamma_Co,2022-03-13,2022-03-15,Raw Materials,Delivered,890,98.26,93.14,49,Yes,FALSE,Nothing,87451.40000000001,82894.6,4556.800000000003,5.210665581111342,2,2022,1,2022-03-01,5.50561797752809,On Time,1,Short
PO-00064,Alpha_Inc,2022-02-16,2022-03-04,MRO,Delivered,216,13.95,12.31,5,Yes,FALSE,Nothing,3013.2,2658.96,354.2399999999998,11.756272401433684,16,2022,1,2022-02-01,2.314814814814815,Slightly Late,1,Moderate
PO-00065,Delta_Logistics,2023-11-09,2023-11-12,Packaging,Delivered,1347,100.13,94.3,200,Yes,FALSE,Nothing,134875.11,127022.09999999999,7853.009999999995,5.822430839908118,3,2023,4,2023-11-01,14.847809948032664,On Time,1,Short
PO-00066,Gamma_Co,2022-08-22,2022-08-25,Office Supplies,Partially Delivered,437,59.51,56.45,25,No,FALSE,Nothing,26005.87,24668.65,1337.2199999999975,5.14199294236262,3,2022,3,2022-08-01,5.720823798627003,On Time,0,Short
PO-00067,Alpha_Inc,2022-10-24,2022-10-26,Electronics,Delivered,650,103.84,88.28,12,Yes,FALSE,Nothing,67496,57382,10114,14.984591679506936,2,2022,4,2022-10-01,1.8461538461538463,On Time,1,Short
PO-00068,Beta_Supplies,2022-03-23,2022-04-11,Office Supplies,Delivered,365,16.81,15.41,38,Yes,FALSE,Nothing,6135.65,5624.65,511,8.328375966686488,19,2022,1,2022-03-01,10.41095890410959,Slightly Late,1,Moderate
PO-00069,Epsilon_Group,2022-08-27,NA,Raw Materials,Cancelled,63,61.94,53.8,0,Yes,FALSE,Nothing,3902.22,3389.3999999999996,512.8200000000002,13.141750080723282,NA,2022,3,2022-08-01,0,NA,1,NA
PO-00070,Alpha_Inc,2022-04-14,2022-04-22,MRO,Delivered,291,98.7,87.02,9,Yes,FALSE,Nothing,28721.7,25322.82,3398.880000000001,11.833839918946309,8,2022,2,2022-04-01,3.0927835051546393,On Time,1,Short
PO-00071,Alpha_Inc,2023-01-25,2023-02-08,MRO,Cancelled,826,60.5,57.18,18,Yes,FALSE,Nothing,49973,47230.68,2742.3199999999997,5.487603305785124,14,2023,1,2023-01-01,2.1791767554479415,On Time,1,Short
PO-00072,Delta_Logistics,2022-10-12,2022-11-01,Electronics,Pending,1419,69.64,59.28,194,Yes,FALSE,Nothing,98819.16,84118.32,14700.839999999997,14.876507754164273,20,2022,4,2022-10-01,13.671599718111347,Slightly Late,1,Moderate
PO-00073,Gamma_Co,2023-04-10,2023-04-27,Office Supplies,Delivered,614,78.06,73.95,40,Yes,FALSE,Nothing,47928.840000000004,45405.3,2523.540000000001,5.265180630284396,17,2023,2,2023-04-01,6.514657980456026,Slightly Late,1,Moderate
PO-00074,Alpha_Inc,2023-10-13,2023-10-28,Electronics,Delivered,947,56.25,54.25,19,Yes,FALSE,Nothing,53268.75,51374.75,1894,3.5555555555555554,15,2023,4,2023-10-01,2.0063357972544877,Slightly Late,1,Moderate
PO-00075,Epsilon_Group,2023-01-09,2023-01-28,Raw Materials,Delivered,1413,70.47,69.65,0,Yes,FALSE,Nothing,99574.11,98415.45000000001,1158.659999999989,1.1636157230026865,19,2023,1,2023-01-01,0,Slightly Late,1,Moderate
PO-00076,Alpha_Inc,2022-06-16,NA,Office Supplies,Partially Delivered,141,64.15,58.32,0,Yes,FALSE,Expected - Pending,9045.150000000001,8223.12,822.0300000000007,9.088074824629782,NA,2022,2,2022-06-01,0,NA,1,NA
PO-00077,Alpha_Inc,2023-01-15,2023-02-04,Office Supplies,Delivered,1440,96.57,83.87,36,Yes,FALSE,Nothing,139060.8,120772.8,18287.999999999985,13.151082116599348,20,2023,1,2023-01-01,2.5,Slightly Late,1,Moderate
PO-00078,Delta_Logistics,2022-12-30,2023-01-03,Raw Materials,Delivered,1005,14.87,12.79,0,No,FALSE,Nothing,14944.349999999999,12853.949999999999,2090.3999999999996,13.98789509078682,4,2022,4,2022-12-01,0,On Time,0,Short
PO-00079,Alpha_Inc,2022-08-03,NA,MRO,Delivered,1528,36.52,33,31,No,FALSE,Missing for delivered,55802.560000000005,50424,5378.560000000005,9.638554216867478,NA,2022,3,2022-08-01,2.0287958115183247,NA,0,NA
PO-00080,Gamma_Co,2023-11-18,2023-11-25,MRO,Delivered,1501,106.05,100.99,77,No,FALSE,Nothing,159181.05,151585.99,7595.059999999998,4.771334276284773,7,2023,4,2023-11-01,5.129913391072619,On Time,0,Short
PO-00081,Delta_Logistics,2022-10-01,2022-10-04,Packaging,Delivered,558,94.18,81.4,0,No,FALSE,Nothing,52552.44,45421.200000000004,7131.239999999998,13.56976003397749,3,2022,4,2022-10-01,0,On Time,0,Short
PO-00082,Beta_Supplies,2023-12-20,2023-12-26,MRO,Delivered,825,56.88,50.84,0,Yes,FALSE,Nothing,46926,41943,4983,10.61884669479606,6,2023,4,2023-12-01,0,On Time,1,Short
PO-00083,Beta_Supplies,2023-12-01,2023-12-07,Electronics,Cancelled,84,73.38,71.42,9,Yes,FALSE,Nothing,6163.92,5999.28,164.64000000000033,2.671027527936759,6,2023,4,2023-12-01,10.714285714285714,On Time,1,Short
PO-00084,Delta_Logistics,2023-10-26,2023-11-10,Raw Materials,Delivered,255,38.64,33.59,27,No,FALSE,Nothing,9853.2,8565.45,1287.75,13.069358178053822,15,2023,4,2023-10-01,10.588235294117647,Slightly Late,0,Moderate
PO-00085,Gamma_Co,2022-03-15,2022-03-31,MRO,Delivered,1154,27.2,26.07,58,Yes,FALSE,Nothing,31388.8,30084.78,1304.0200000000004,4.154411764705879,16,2022,1,2022-03-01,5.025996533795494,Slightly Late,1,Moderate
PO-00086,Delta_Logistics,2023-09-16,2023-09-24,Office Supplies,Delivered,1635,56.91,54.37,262,No,FALSE,Nothing,93047.84999999999,88894.95,4152.899999999994,4.463187489017746,8,2023,3,2023-09-01,16.02446483180428,On Time,0,Short
PO-00087,Delta_Logistics,2023-10-13,2023-10-23,Raw Materials,Delivered,1945,46.19,40.12,278,No,FALSE,Nothing,89839.54999999999,78033.4,11806.149999999994,13.141372591470017,10,2023,4,2023-10-01,14.29305912596401,On Time,0,Short
PO-00088,Delta_Logistics,2022-06-25,2022-07-10,MRO,Partially Delivered,1461,64.09,63.39,228,No,FALSE,Nothing,93635.49,92612.79,1022.7000000000116,1.0922140739585002,15,2022,2,2022-06-01,15.605749486652979,Slightly Late,0,Moderate
PO-00089,Delta_Logistics,2023-07-01,2023-07-09,Electronics,Delivered,1075,18.53,16.12,147,Yes,FALSE,Nothing,19919.75,17329,2590.75,13.00593631948192,8,2023,3,2023-07-01,13.674418604651162,On Time,1,Short
PO-00090,Alpha_Inc,2022-09-08,NA,Packaging,Delivered,1071,101.6,93.91,25,Yes,FALSE,Missing for delivered,108813.59999999999,100577.61,8235.98999999999,7.568897637795274,NA,2022,3,2022-09-01,2.3342670401493932,NA,1,NA
PO-00091,Epsilon_Group,2022-06-17,2022-07-06,Packaging,Pending,1463,101.23,86.17,43,Yes,FALSE,Nothing,148099.49000000002,126066.71,22032.780000000013,14.877012743257929,19,2022,2,2022-06-01,2.939166097060834,Slightly Late,1,Moderate
PO-00092,Beta_Supplies,2023-04-19,2023-04-26,Raw Materials,Delivered,615,78.3,73.68,69,Yes,FALSE,Nothing,48154.5,45313.200000000004,2841.2999999999956,5.90038314176244,7,2023,2,2023-04-01,11.219512195121952,On Time,1,Short
PO-00093,Gamma_Co,2023-01-24,2023-02-11,Electronics,Delivered,1179,61.74,56.28,0,Yes,FALSE,Nothing,72791.46,66354.12,6437.340000000011,8.843537414965988,18,2023,1,2023-01-01,0,Slightly Late,1,Moderate
PO-00094,Alpha_Inc,2022-10-04,2022-10-09,Electronics,Partially Delivered,1845,39.56,37.63,45,Yes,FALSE,Nothing,72988.2,69427.35,3560.8499999999913,4.878665318503538,5,2022,4,2022-10-01,2.4390243902439024,On Time,1,Short
PO-00095,Beta_Supplies,2023-10-18,NA,Electronics,Cancelled,1895,91.98,86.27,170,Yes,FALSE,Nothing,174302.1,163481.65,10820.450000000012,6.207871276364436,NA,2023,4,2023-10-01,8.970976253298153,NA,1,NA
PO-00096,Epsilon_Group,2023-12-06,2023-12-09,MRO,Partially Delivered,1550,79.86,69.57,32,No,FALSE,Nothing,123783,107833.49999999999,15949.500000000015,12.885048835462065,3,2023,4,2023-12-01,2.064516129032258,On Time,0,Short
PO-00097,Delta_Logistics,2023-07-25,2023-08-04,Packaging,Delivered,752,26.85,24.37,0,No,FALSE,Nothing,20191.2,18326.24,1864.9599999999991,9.236499068901304,10,2023,3,2023-07-01,0,On Time,0,Short
PO-00098,Epsilon_Group,2022-08-13,2022-09-01,Electronics,Delivered,451,95.2,90.07,21,Yes,FALSE,Nothing,42935.200000000004,40621.57,2313.6300000000047,5.388655462184884,19,2022,3,2022-08-01,4.656319290465632,Slightly Late,1,Moderate
PO-00099,Beta_Supplies,2023-12-03,NA,Office Supplies,Delivered,779,93.69,90.92,66,Yes,FALSE,Missing for delivered,72984.51,70826.68000000001,2157.829999999987,2.95655886433984,NA,2023,4,2023-12-01,8.472400513478819,NA,1,NA
PO-00100,Beta_Supplies,2022-11-29,2022-12-14,MRO,Pending,1629,100.26,86.44,187,No,FALSE,Nothing,163323.54,140810.76,22512.78,13.78416118092959,15,2022,4,2022-11-01,11.479435236341313,Slightly Late,0,Moderate
PO-00101,Alpha_Inc,2022-02-27,2022-02-22,Office Supplies,Delivered,211,75.69,65.4,2,Yes,FALSE,Nothing,15970.59,13799.400000000001,2171.1899999999987,13.594926674593728,-5,2022,1,2022-02-01,0.9478672985781991,On Time,1,Short
PO-00102,Alpha_Inc,2022-08-23,NA,Office Supplies,Delivered,251,67.49,64.48,2,Yes,FALSE,Missing for delivered,16939.989999999998,16184.480000000001,755.5099999999966,4.459919988146379,NA,2022,3,2022-08-01,0.796812749003984,NA,1,NA
PO-00103,Gamma_Co,2022-02-02,2022-02-18,Raw Materials,Delivered,1045,47.88,44.65,69,Yes,FALSE,Nothing,50034.600000000006,46659.25,3375.350000000006,6.746031746031754,16,2022,1,2022-02-01,6.6028708133971294,Slightly Late,1,Moderate
PO-00104,Delta_Logistics,2022-11-20,2022-12-10,MRO,Delivered,319,98.64,89.15,57,Yes,FALSE,Nothing,31466.16,28438.850000000002,3027.3099999999977,9.62084347120843,20,2022,4,2022-11-01,17.86833855799373,Slightly Late,1,Moderate
PO-00105,Epsilon_Group,2023-02-15,2023-03-01,Office Supplies,Partially Delivered,1936,93.66,92.24,58,Yes,FALSE,Nothing,181325.75999999998,178576.63999999998,2749.1199999999953,1.5161221439248365,14,2023,1,2023-02-01,2.9958677685950414,On Time,1,Short
PO-00106,Delta_Logistics,2022-10-02,2022-10-22,MRO,Cancelled,865,14.7,13.14,135,No,FALSE,Nothing,12715.5,11366.1,1349.3999999999996,10.612244897959174,20,2022,4,2022-10-01,15.606936416184972,Slightly Late,0,Moderate
PO-00107,Epsilon_Group,2022-03-09,2022-03-12,Electronics,Delivered,1344,12.5,10.87,44,Yes,FALSE,Nothing,16800,14609.279999999999,2190.720000000001,13.040000000000006,3,2022,1,2022-03-01,3.273809523809524,On Time,1,Short
PO-00108,Delta_Logistics,2022-08-05,2022-08-24,Raw Materials,Pending,505,45.42,40.37,62,Yes,FALSE,Nothing,22937.100000000002,20386.85,2550.2500000000036,11.118450022016741,19,2022,3,2022-08-01,12.277227722772277,Slightly Late,1,Moderate
PO-00109,Beta_Supplies,2023-08-04,2023-08-05,Packaging,Delivered,1535,90.83,78.28,151,No,FALSE,Nothing,139424.05,120159.8,19264.249999999985,13.817020808103047,1,2023,3,2023-08-01,9.8371335504886,On Time,0,Short
PO-00110,Beta_Supplies,2022-11-19,NA,Office Supplies,Delivered,1800,103.8,96.27,166,Yes,FALSE,Missing for delivered,186840,173286,13554,7.254335260115609,NA,2022,4,2022-11-01,9.222222222222221,NA,1,NA
